__main__:CRITICAL:2022-11-28 09:30:24,303:Your CRITICAL message
__main__:CRITICAL:2022-11-28 09:38:36,504:37
__main__:CRITICAL:2022-11-28 09:38:36,508:39
__main__:CRITICAL:2022-11-28 09:38:36,513:37
__main__:CRITICAL:2022-11-28 09:38:36,513:39
__main__:CRITICAL:2022-11-28 09:38:36,515:39
__main__:CRITICAL:2022-11-28 09:38:36,519:38
__main__:CRITICAL:2022-11-28 09:38:36,522:36
__main__:CRITICAL:2022-11-28 09:38:36,523:39
__main__:CRITICAL:2022-11-28 09:38:36,526:36
__main__:CRITICAL:2022-11-28 09:38:36,535:39
__main__:CRITICAL:2022-11-28 09:38:36,535:38
__main__:CRITICAL:2022-11-28 09:39:47,027:36
__main__:CRITICAL:2022-11-28 09:39:47,032:39
__main__:CRITICAL:2022-11-28 09:39:47,035:38
__main__:CRITICAL:2022-11-28 09:39:47,036:38
__main__:CRITICAL:2022-11-28 09:39:47,039:39
__main__:CRITICAL:2022-11-28 09:39:47,040:39
__main__:CRITICAL:2022-11-28 09:39:47,044:37
__main__:CRITICAL:2022-11-28 09:39:47,046:38
__main__:CRITICAL:2022-11-28 09:39:47,048:39
__main__:CRITICAL:2022-11-28 09:39:47,049:39
__main__:CRITICAL:2022-11-28 09:39:47,052:40
__main__:CRITICAL:2022-11-28 09:39:47,053:38
__main__:CRITICAL:2022-11-28 09:40:08,306:38
__main__:CRITICAL:2022-11-28 09:40:08,313:36
__main__:CRITICAL:2022-11-28 09:40:08,319:40
__main__:CRITICAL:2022-11-28 09:40:08,319:40
__main__:CRITICAL:2022-11-28 09:40:08,323:37
__main__:CRITICAL:2022-11-28 09:40:08,324:39
__main__:CRITICAL:2022-11-28 09:40:08,325:36
__main__:CRITICAL:2022-11-28 09:40:08,326:37
__main__:CRITICAL:2022-11-28 09:40:08,327:40
__main__:CRITICAL:2022-11-28 09:40:08,328:38
__main__:CRITICAL:2022-11-28 09:40:08,335:40
__main__:CRITICAL:2022-11-28 09:40:08,337:36
__main__:CRITICAL:2022-11-28 09:40:08,340:37
__main__:CRITICAL:2022-11-28 09:40:08,341:37
__main__:CRITICAL:2022-11-28 09:40:18,553:40
__main__:CRITICAL:2022-11-28 09:40:18,557:38
__main__:CRITICAL:2022-11-28 09:40:18,559:37
__main__:CRITICAL:2022-11-28 09:40:18,562:38
__main__:CRITICAL:2022-11-28 09:40:18,563:37
__main__:CRITICAL:2022-11-28 09:40:18,565:36
__main__:CRITICAL:2022-11-28 09:40:18,565:37
__main__:CRITICAL:2022-11-28 09:40:18,566:38
__main__:CRITICAL:2022-11-28 09:40:18,567:39
__main__:CRITICAL:2022-11-28 09:40:18,570:38
__main__:CRITICAL:2022-11-28 09:40:18,574:39
__main__:CRITICAL:2022-11-28 09:40:18,575:38
__main__:CRITICAL:2022-11-28 09:40:18,576:37
__main__:CRITICAL:2022-11-28 09:40:18,576:40
__main__:CRITICAL:2022-11-28 09:40:18,577:36
__main__:CRITICAL:2022-11-28 09:40:18,578:37
__main__:CRITICAL:2022-11-28 09:40:18,580:39
__main__:CRITICAL:2022-11-28 09:40:18,582:38
__main__:CRITICAL:2022-11-28 09:40:18,583:40
__main__:CRITICAL:2022-11-28 09:40:18,584:39
__main__:CRITICAL:2022-11-28 09:41:11,336:38
__main__:CRITICAL:2022-11-28 09:41:11,338:36
__main__:CRITICAL:2022-11-28 09:41:11,341:39
__main__:CRITICAL:2022-11-28 09:41:11,341:40
__main__:CRITICAL:2022-11-28 09:41:11,345:39
__main__:CRITICAL:2022-11-28 09:41:11,347:36
__main__:CRITICAL:2022-11-28 09:41:11,347:38
__main__:CRITICAL:2022-11-28 09:41:11,353:39
__main__:CRITICAL:2022-11-28 09:41:11,354:36
__main__:CRITICAL:2022-11-28 09:41:11,356:37
__main__:CRITICAL:2022-11-28 09:41:11,360:38
__main__:CRITICAL:2022-11-28 09:41:11,363:37
